trade_id,portfolio,asset_id,issuer,sector,rating,side,par_amount,price,country,projected_cash,status,reasons
T003,LCP_FUND_1,TL042,Omega Leisure,Consumer,CCC,BUY,700000,92.0,US,150500.0,REJECTED,"Disallowed rating: CCC | Cash buffer breach: projected cash 150,500.00 < minimum 500,000.00"
T004,LCP_FUND_1,TL008,Atlas Finance,Financials,BB,BUY,400000,100.5,US,392500.0,REJECTED,"Cash buffer breach: projected cash 392,500.00 < minimum 500,000.00"
T007,LCP_FUND_1,TL011,Vertex Software,Technology,BBB,BUY,250000,103.3,US,396550.0,REJECTED,"Cash buffer breach: projected cash 396,550.00 < minimum 500,000.00"
T009,LCP_FUND_1,TL044,EverTrust Bank,Financials,BB,BUY,600000,99.8,UK,195350.0,REJECTED,"Cash buffer breach: projected cash 195,350.00 < minimum 500,000.00"
T012,LCP_FUND_1,TL046,Pacific Jet,Industrials,B,BUY,300000,94.4,US,298250.0,REJECTED,"Cash buffer breach: projected cash 298,250.00 < minimum 500,000.00"
T014,LCP_FUND_1,TL047,EuroChem,Materials,BB,BUY,500000,97.5,DE,282350.0,REJECTED,"Country not allowed: DE | Cash buffer breach: projected cash 282,350.00 < minimum 500,000.00"
T016,LCP_FUND_1,TL048,CoreGrid Utilities,Utilities,BBB,BUY,400000,101.2,US,95275.0,REJECTED,"Cash buffer breach: projected cash 95,275.00 < minimum 500,000.00"
T018,LCP_FUND_1,TL049,Silver Oak Pharma,Healthcare,BBB,BUY,325000,102.0,US,270975.0,REJECTED,"Cash buffer breach: projected cash 270,975.00 < minimum 500,000.00"
T019,LCP_FUND_1,TL050,Nova Retail,Consumer,B,BUY,550000,93.5,US,88225.0,REJECTED,"Cash buffer breach: projected cash 88,225.00 < minimum 500,000.00"
T021,LCP_FUND_2,TL051,Alpha Compute,Technology,BB,BUY,500000,99.6,US,200475.0,REJECTED,"Cash buffer breach: projected cash 200,475.00 < minimum 500,000.00"
T025,LCP_FUND_2,TL053,Signal Media,Communications,BB,BUY,350000,99.1,UK,355845.0,REJECTED,"Cash buffer breach: projected cash 355,845.00 < minimum 500,000.00"
T026,LCP_FUND_2,TL026,StoneBridge Capital,Financials,BB,BUY,275000,99.9,US,427970.0,REJECTED,"Cash buffer breach: projected cash 427,970.00 < minimum 500,000.00"
T027,LCP_FUND_2,TL054,BlueRock Metals,Materials,B,BUY,300000,95.3,CA,416795.0,REJECTED,"Cash buffer breach: projected cash 416,795.00 < minimum 500,000.00"
T029,LCP_FUND_2,TL055,Skyward Aviation,Industrials,B,BUY,450000,94.1,UK,434645.0,REJECTED,"Cash buffer breach: projected cash 434,645.00 < minimum 500,000.00"
T031,LCP_FUND_2,TL056,Harbor Leisure,Consumer,CCC,BUY,500000,91.8,US,500895.0,REJECTED,Disallowed rating: CCC
T033,LCP_FUND_2,TL057,Trustline Bank,Financials,BB,BUY,410000,100.2,US,340295.0,REJECTED,"Cash buffer breach: projected cash 340,295.00 < minimum 500,000.00"
T036,LCP_FUND_2,TL039,FreshHarvest Foods,Consumer,BB,BUY,240000,99.7,US,423535.0,REJECTED,"Cash buffer breach: projected cash 423,535.00 < minimum 500,000.00"
T037,LCP_FUND_2,TL059,Terra Water,Utilities,BB,BUY,320000,99.0,CA,346015.0,REJECTED,"Cash buffer breach: projected cash 346,015.00 < minimum 500,000.00"
T039,LCP_FUND_2,TL060,Continental Tech,Technology,BBB,BUY,350000,103.0,US,415115.0,REJECTED,"Cash buffer breach: projected cash 415,115.00 < minimum 500,000.00"
